name,price,stock,description
Wireless Bluetooth Headphones,79.99,56,High-quality sound with noise cancellation.
4K Ultra HD Smart TV,499.99,67,Enjoy your favorite shows in stunning 4K resolution.
Instant Pot Duo 7-in-1,89.99,54,Multi-functional cooker for all your meal prep needs.
Gaming Laptop,1299.99,34,Powerful performance for gaming and multitasking.
Electric Toothbrush,59.99,54,Advanced cleaning technology for healthier teeth.
Noise Cancelling Earbuds,129.99,67,Immerse yourself in music without distractions.
Fitness Tracker Watch,49.99,52,Monitor your health and fitness goals with ease.
High-Speed Blender,89.99,15,Make smoothies and soups in seconds.
Portable Phone Charger,19.99,32, Keep your devices charged on the go.
3D Printer,399.99,36,Bring your ideas to life with high-quality 3D prints.
Yoga Mat,29.99,64, Comfortable and durable mat for your workouts
Robot Vacuum Cleaner,299.99,35,Effortlessly clean your floors with smart technology.
DSLR Camera,699.99,46,Capture stunning photos with professional quality.
Smart Wi-Fi Thermostat,149.99,654,Control your home's temperature from anywhere.
Kitchen Knife Set,89.99,54,Essential tools for every home chef.
